Meeting,URL,code,Key,Topic
ASL Developer Keynote: You can just build things,https://www.youtube.com/watch?v=cNo1WGGnBkc,DEVKEY-ASL,,
ASL Opening Keynote: The new way to cloud,https://www.youtube.com/watch?v=zsis2u4WsWE,GENKEY-ASL,,
Developer Keynote in 10 minutes,https://www.youtube.com/watch?v=xHODIqeARXM,DEVKEY-RC3,,
Developer Keynote in 2 minutes,https://www.youtube.com/watch?v=e3ccrpljwNY,DEVKEY-RC1,,
Developer Keynote: You can just build things,https://www.youtube.com/watch?v=xLDSuXD8Mls,DEVKEY,"本次 Google Cloud 的開發者主題演講，重點展示了如何利用 Google Cloud 和 Gemini 模型，賦能開發者構建新一代的應用程式，特別是 AI 代理（Agent）。演講涵蓋了代理的開發、部署和互動，以及如何利用 AI 輔助程式碼編寫和雲端操作。核心觀點包括：

*   **AI 代理的強大能力：** AI 代理可以規劃、推理、學習、協作和行動，代表使用者或與其他代理協同完成目標。
*   **Google Cloud 的工具和框架：** 推出 Agent Development Kit (ADK)、Agent Engine 和 Agent Space，簡化代理的開發和部署流程。
*   **Gemini 模型的關鍵作用：** Gemini 模型提供長上下文視窗和多模態支援，實現影片、圖片和語音的無縫整合，為應用程式帶來更豐富的體驗。
*   **AI 輔助開發的效率提升：** Code Assist 和 Cloud Assist 代理可以加速開發流程，簡化雲端操作，提高軟體工程師的生產力。
*   **開放性和選擇性：** 開發者可以選擇自己喜歡的 IDE 和模型，利用 Google Cloud 的工具和平台，構建符合自身需求的應用程式。","Applied AI
"
Google Cloud Next 25 in a minute,https://www.youtube.com/watch?v=OIJywyYQrd8,EVENT-01,"本次會議主要介紹 Google Cloud 如何透過 Gemini 模型和新的工具，革新軟體開發流程，提升開發者效率。重點包括：

*   **新一代 Agentic 應用程式開發：** 推出 Agent Development Kit、Agent Engine 和 Agent Space，協助開發者構建、運行和管理 AI 代理程式，實現人機協作。
*   **提升開發者生產力：** 透過 Code Assist 和 Cloud Assist 代理程式，加速開發流程，簡化雲端操作，涵蓋整個軟體開發生命週期。
*   **Gemini 模型賦能：** 利用 Gemini 的強大上下文窗口和多模態支援，開發更強大的應用程式。
*   **AI Studio 體驗：** 開發者可以在 AI Studio 中試用最新的 Gemini 模型，包括 Gemini 2.5 Pro。","Applied AI
"
Next 25 Opening Keynote in 10 minutes,https://www.youtube.com/watch?v=dwgmfSOZNoQ,GENKEY-RC4,Google Cloud Next 大會重點展示了 Google 在 AI 領域的最新進展和產品。核心觀點包括：Gemini 模型系列的強大功能和廣泛應用，Google Cloud 作為 AI 優化平台的領先地位，以及 Google 對於開放、多雲和企業級 AI 平台的承諾。此外，還強調了與 NVIDIA 等重要合作夥伴的協作，以及 AI 在 Workspace、安全和數據分析等領域的創新應用。,"AI
"
Next 25 Opening Keynote in less than 5 minutes,https://www.youtube.com/watch?v=niB671nDcN0,GENKEY-RC2,"Google Cloud Next 2024 開幕主題演講重點在於展示 Google Cloud 和 Workspace 在過去一年中的產品進展，以及客戶如何利用這些創新來實現業務轉型。核心觀點包括：

*   Google Cloud 視 AI 為推動客戶使命的最重要方式。
*   推出第七代 TPU IronWood，為最強大的晶片，將推動 AI 模型發展。
*   Gemini 2.5 Pro 和 Gemini 2.5 Flash 的發布，提供更強大、低延遲且具成本效益的 AI 模型。
*   Google Cloud 提供 AI 優化平台，具備領先的價格、效能、精準度和品質。
*   推出構建和管理多代理系統所需的一切工具。
*   Gemini 可以在 Google Distributed Cloud 上本地運行，無論是氣隙環境還是連線環境。
*   與 NVIDIA 的合作，推出三項 Workspace 創新功能。
*   Google 是唯一一家提供跨所有模態生成媒體模型的公司。
*   Vertex AI 上的 Gemini 使用量大幅增長。
*   推出新的代理開發套件和代理間通訊協定，簡化多代理系統的構建。
*   透過 Google Agent Space 將 AI 代理交付給每位員工。
*   客戶參與套件正在轉變客戶服務。
*   推出新的程式碼輔助代理，協助程式碼現代化和軟體開發生命週期。
*   安全代理可以顯著提高安全分析師的速度和效率。
*   推出 Google Unified Security，提供無與倫比的可見性。","AI
"
Opening Keynote: The new way to cloud,https://www.youtube.com/watch?v=Md4Fs-Zc3tg,GENKEY,"本次會議主題為雲端服務的新方式，重點介紹了 Google 在 AI 領域的最新進展，以及如何將這些技術整合到 Google Workspace、Vertex AI 等產品中，幫助企業提升效率、加速創新。核心觀點包括：

*   **Gemini 在 Google Workspace 的應用：** Gemini 已經整合到 Gmail、Docs、Drive 和 Meet 等 Google Workspace 應用中，協助使用者完成資料分析、音訊概述、工作流程自動化等任務。
*   **Vertex AI 上提供多種生成式 AI 模型：** Google 提供 Gemini、Imagine、Chirp、Liria 和 VO 等多種生成式 AI 模型，涵蓋文字、圖像、音訊和影片等多種模態，並透過 Vertex AI 提供給客戶使用。
*   **AI Agents 的重要性：** AI Agents 能夠進行推理、規劃、記憶，並使用工具來完成任務，可以協助員工提高效率、做出更好的決策、並加速創新。
*   **Google Agent Space 的推出：** Google Agent Space 讓員工可以輕鬆找到並使用 AI Agents，從企業內部資料中獲取資訊，並讓 Agents 代表他們執行任務。
*   **Google Unified Security 的推出：** Google Unified Security 整合了 Google 的安全產品和服務，提供更全面的安全防護。","Applied AI
"
[NEW!] Introducing Firestore with MongoDB compatibility. Dive-deep into its capabilities and use-cases.,https://www.youtube.com/watch?v=ZzLFAEYV2js,BRK2-113,本次會議主要介紹了 Google Cloud Platform (GCP) 中 Firestore 與 MongoDB 兼容性的新功能。重點在於結合 MongoDB API 和工具的便利性，以及 Firestore 的可擴展性、可用性和易用性。此外，還探討了 Firestore Enterprise Edition 的定價模式，以及 Mayo Clinic 如何利用 Firestore 進行創新。,"Databases
"
